id,address,suburb,region,distance_from_cbd_km,property_type,bedrooms,bathrooms,car_spots,land_size_sqm,building_area_sqm,year_built,sale_date,sale_method,price
47,192 Station Rd,Coburg,Northern,8,House,2,1,1.0,335,153.0,1940.0,2023-01-15,S,681000.0
48,184 Riverside Dr,Dandenong,South East,30,Townhouse,5,4,0.0,263,242.0,1936.0,2023-01-16,SP,420000.0
49,187 Park Cres,Richmond,Inner,3,House,3,2,0.0,645,149.0,1955.0,2023-01-16,S,1322000.0
50,1 Beach Rd,Hawthorn,Inner East,6,House,2,1,0.0,308,123.0,1968.0,2023-01-16,S,1312000.0
51,134 Elm Gr,Richmond,Inner,3,House,3,2,1.0,640,141.0,2001.0,2023-01-16,S,1621000.0
52,20 Victoria Ave,Coburg,Northern,8,House,2,2,3.0,483,115.0,1938.0,2023-01-16,S,958000.0
53,18 Park Cres,Toorak,Inner East,5,House,1,1,1.0,457,106.0,1945.0,2023-01-17,S,1512000.0
54,191 Grove St,Point Cook,Outer West,24,House,2,1,3.0,805,111.0,1934.0,2023-01-17,SP,925000.0
55,123 Somerset Cl,Glen Waverley,Eastern,18,House,3,2,0.0,670,159.0,2009.0,2023-01-17,S,1099000.0
56,19 Victoria Ave,Yarraville,Inner West,8,Townhouse,1,1,2.0,270,93.0,1918.0,2023-01-17,S,628000.0
57,1 Clarke St,Kew,Inner East,6,Townhouse,4,3,1.0,236,155.0,1992.0,2023-01-17,S,1207000.0
58,144 Station Rd,South Yarra,Inner,4,Unit/Apartment,2,2,3.0,0,118.0,1976.0,2023-01-17,S,851000.0
59,44 Maple Ct,Fitzroy,Inner,3,Unit/Apartment,1,1,0.0,0,99.0,1938.0,2023-01-17,PI,706000.0
60,160 Riverside Dr,Frankston,South East,41,House,1,1,2.0,352,96.0,1999.0,2023-01-18,SP,499000.0
61,97 Station Rd,Werribee,Outer West,32,House,1,1,1.0,760,103.0,1944.0,2023-01-18,S,389000.0
62,198 Cook St,Footscray,Inner West,6,Unit/Apartment,1,1,0.0,0,93.0,2008.0,2023-01-18,S,565000.0
63,1 Nicholson St,Craigieburn,Outer North,26,House,3,2,2.0,423,134.0,2013.0,2023-01-18,VB,485000.0
64,50 Victoria Ave,St Kilda,Bayside,6,House,4,2,3.0,772,189.0,1983.0,2023-01-19,S,1558000.0
65,72 Clarke St,Footscray,Inner West,6,House,2,1,1.0,835,101.0,2004.0,2023-01-19,S,1188000.0
66,188 Nicholson St,Brunswick,Northern,5,Townhouse,3,3,0.0,243,145.0,,2023-01-19,VB,901000.0
67,17 Wellington Pde,Yarraville,Inner West,8,Townhouse,2,2,1.0,136,132.0,1982.0,2023-01-19,S,743000.0
68,106 Cook St,Carlton,Inner,2,Unit/Apartment,1,1,2.0,0,92.0,1952.0,2023-01-19,S,591000.0
69,17 Grove St,Doncaster,Eastern,15,Unit/Apartment,1,1,0.0,0,102.0,1909.0,2023-01-20,S,597000.0
70,3 Grove St,Moonee Ponds,North West,7,House,3,2,1.0,701,141.0,1931.0,2023-01-20,SA,1591000.0
71,94 High St,Southbank,Inner,2,House,3,3,2.0,613,191.0,1903.0,2023-01-20,S,1435000.0
72,29 Ryan Ave,Coburg,Northern,8,Townhouse,3,2,0.0,133,149.0,1941.0,2023-01-20,VB,629000.0
73,18 Elm Gr,Berwick,Outer South East,42,Unit/Apartment,1,1,0.0,0,110.0,1948.0,2023-01-20,S,230000.0
74,45 Victoria Ave,Essendon,North West,9,House,1,1,0.0,822,90.0,1934.0,2023-01-21,S,1195000.0
75,175 Station Rd,Malvern,Inner East,8,House,3,3,1.0,467,183.0,1915.0,2023-01-21,PI,1606000.0
76,137 Elm Gr,Sandringham,Bayside,15,Unit/Apartment,1,1,0.0,0,107.0,1996.0,2023-01-21,S,602000.0
77,166 Nicholson St,Malvern,Inner East,8,House,3,2,2.0,436,154.0,1913.0,2023-01-22,S,1587000.0
78,28 Maple Ct,Richmond,Inner,3,House,3,3,2.0,781,172.0,1983.0,2023-01-22,S,1611000.0
79,167 Albert Rd,Epping,Outer North,20,House,3,2,3.0,825,153.0,1959.0,2023-01-22,S,778000.0
80,130 Clarke St,Craigieburn,Outer North,26,Unit/Apartment,1,1,0.0,0,93.0,1925.0,2023-01-23,SP,287000.0
81,174 Empire Ave,Berwick,Outer South East,42,House,2,1,1.0,826,112.0,1934.0,2023-01-23,S,656000.0
82,49 Wellington Pde,Pakenham,Outer South East,55,Townhouse,3,2,0.0,222,165.0,1918.0,2023-01-23,SP,292000.0
83,138 Cook St,Sunshine,Western,13,Townhouse,1,1,2.0,280,122.0,1979.0,2023-01-23,PI,537000.0
84,91 Church St,Reservoir,Northern,12,Unit/Apartment,1,1,2.0,0,99.0,1942.0,2023-01-23,VB,473000.0
85,59 High St,Sandringham,Bayside,15,House,1,1,3.0,438,107.0,1965.0,2023-01-24,S,1223000.0
86,25 Bridge St,South Yarra,Inner,4,Townhouse,1,1,0.0,284,100.0,1980.0,2023-01-24,S,1107000.0
87,150 Somerset Cl,Point Cook,Outer West,24,House,2,1,1.0,598,114.0,1913.0,2023-01-24,SP,664000.0
88,180 Station Rd,Sunshine,Western,13,Unit/Apartment,2,2,0.0,0,112.0,1993.0,2023-01-24,S,478000.0
89,17 Empire Ave,Berwick,Outer South East,42,Townhouse,3,2,1.0,271,158.0,1925.0,2023-01-24,S,451000.0
90,180 Wellington Pde,Werribee,Outer West,32,House,2,1,2.0,385,139.0,1969.0,2023-01-25,S,415000.0
91,9 Ryan Ave,Werribee,Outer West,32,Unit/Apartment,2,2,1.0,0,112.0,1940.0,2023-01-25,S,260000.0
92,198 Riverside Dr,Dandenong,South East,30,Townhouse,1,1,1.0,245,115.0,1907.0,2023-01-25,PI,299000.0
93,15 Beach Rd,St Kilda,Bayside,6,House,2,1,2.0,592,126.0,1974.0,2023-01-25,SA,1141000.0
94,109 Somerset Cl,Berwick,Outer South East,42,Unit/Apartment,2,2,2.0,0,111.0,1933.0,2023-01-26,PI,306000.0
95,55 Empire Ave,Toorak,Inner East,5,Unit/Apartment,3,3,2.0,0,171.0,1924.0,2023-01-26,S,1508000.0
96,95 Church St,Pakenham,Outer South East,55,House,3,2,,553,153.0,1932.0,2023-01-27,S,438000.0
97,169 Bridge St,Reservoir,Northern,12,House,2,2,2.0,389,126.0,2023.0,2023-01-27,S,554000.0
98,58 Albert Rd,Hawthorn,Inner East,6,Townhouse,4,4,1.0,183,188.0,,2023-01-27,S,1298000.0
99,177 Cook St,Williamstown,Inner West,10,House,2,1,4.0,716,131.0,1972.0,2023-01-28,S,1406000.0
100,19 Riverside Dr,Yarraville,Inner West,8,Unit/Apartment,1,1,0.0,0,105.0,1926.0,2023-01-28,S,626000.0
101,135 Elm Gr,South Yarra,Inner,4,Townhouse,2,1,0.0,296,116.0,1984.0,2023-01-28,S,1037000.0
102,17 Victoria Ave,Preston,Northern,9,Townhouse,3,3,1.0,189,136.0,1984.0,2023-01-29,S,548000.0
103,171 Somerset Cl,Melbourne CBD,Inner,1,House,2,2,0.0,495,134.0,1986.0,2023-01-30,S,1139000.0
104,9 Somerset Cl,Reservoir,Northern,12,Unit/Apartment,1,1,0.0,0,109.0,1987.0,2023-01-30,S,380000.0
105,72 Victoria Ave,Essendon,North West,9,Townhouse,4,4,1.0,168,170.0,1919.0,2023-01-30,PI,968000.0
106,163 Park Cres,Essendon,North West,9,Townhouse,2,2,1.0,152,149.0,2014.0,2023-01-30,S,826000.0
107,197 Station Rd,Glen Waverley,Eastern,18,Unit/Apartment,2,1,2.0,0,109.0,1959.0,2023-01-31,SP,563000.0
108,115 Clarke St,Camberwell,Inner East,9,House,2,1,1.0,572,157.0,1966.0,2023-01-31,VB,1288000.0
109,17 Albert Rd,Box Hill,Eastern,14,House,3,3,1.0,770,165.0,1923.0,2023-01-31,SP,1042000.0
110,198 Clarke St,Carlton,Inner,2,Townhouse,4,3,1.0,293,204.0,2017.0,2023-01-31,SP,979000.0
111,162 Riverside Dr,Essendon,North West,9,House,4,3,2.0,419,176.0,2016.0,2023-02-01,S,1234000.0
112,44 Clarke St,Toorak,Inner East,5,Townhouse,4,4,0.0,229,160.0,1926.0,2023-02-01,S,1665000.0
113,133 High St,Malvern,Inner East,8,House,3,3,4.0,739,154.0,1984.0,2023-02-01,PI,2115000.0
114,19 Wellington Pde,Kew,Inner East,6,House,2,1,2.0,327,133.0,1964.0,2023-02-01,S,1361000.0
115,14 Somerset Cl,South Yarra,Inner,4,Townhouse,4,2,4.0,241,154.0,1908.0,2023-02-02,S,1277000.0
116,127 Union St,Coburg,Northern,8,House,3,2,0.0,409,193.0,1901.0,2023-02-02,SP,960000.0
117,177 Somerset Cl,Pakenham,Outer South East,55,Townhouse,3,2,0.0,261,138.0,1950.0,2023-02-03,PI,316000.0
118,140 High St,Brighton,Bayside,11,House,2,1,1.0,531,133.0,1993.0,2023-02-03,SP,1650000.0
119,51 Empire Ave,Frankston,South East,41,Unit/Apartment,1,1,,0,98.0,2017.0,2023-02-03,S,238000.0
120,199 Beach Rd,Pakenham,Outer South East,55,Townhouse,2,1,2.0,281,121.0,1919.0,2023-02-04,S,283000.0
121,63 Clarke St,Williamstown,Inner West,10,House,1,1,2.0,874,103.0,1904.0,2023-02-04,S,1088000.0
122,69 Somerset Cl,Camberwell,Inner East,9,House,3,2,4.0,749,185.0,1934.0,2023-02-04,VB,1762000.0
123,7 Union St,Moonee Ponds,North West,7,House,3,2,1.0,500,157.0,1958.0,2023-02-04,S,1252000.0
124,57 Grove St,Dandenong,South East,30,Townhouse,5,4,1.0,194,215.0,2002.0,2023-02-05,S,442000.0
125,13 Park Cres,Preston,Northern,9,House,3,2,0.0,723,188.0,1933.0,2023-02-06,S,1137000.0
126,128 Elm Gr,Coburg,Northern,8,Unit/Apartment,1,1,,0,113.0,1928.0,2023-02-06,VB,487000.0
127,102 Nicholson St,Sandringham,Bayside,15,Townhouse,3,2,1.0,225,150.0,1900.0,2023-02-07,VB,1139000.0
128,100 Riverside Dr,Yarraville,Inner West,8,Townhouse,3,3,0.0,155,133.0,1977.0,2023-02-07,SP,823000.0
129,75 Somerset Cl,Glen Waverley,Eastern,18,Townhouse,1,1,1.0,244,88.0,1915.0,2023-02-07,VB,596000.0
130,70 Park Cres,Hawthorn,Inner East,6,Unit/Apartment,2,1,0.0,0,138.0,2016.0,2023-02-07,S,903000.0
131,27 Ryan Ave,Frankston,South East,41,Unit/Apartment,1,1,0.0,0,115.0,1979.0,2023-02-07,S,323000.0
132,16 Grove St,Melbourne CBD,Inner,1,House,1,1,1.0,372,117.0,1950.0,2023-02-07,S,1160000.0
133,33 Somerset Cl,Doncaster,Eastern,15,House,3,3,,346,182.0,1968.0,2023-02-07,S,1142000.0
134,59 Clarke St,Kew,Inner East,6,House,2,1,2.0,787,105.0,1914.0,2023-02-08,S,1573000.0
135,129 Union St,Camberwell,Inner East,9,House,3,2,0.0,525,,1904.0,2023-02-08,SP,1294000.0
136,126 Bridge St,Southbank,Inner,2,House,2,2,3.0,741,128.0,1900.0,2023-02-08,SP,1436000.0
137,142 Wellington Pde,South Yarra,Inner,4,Unit/Apartment,2,1,1.0,0,128.0,1944.0,2023-02-08,SP,560000.0
138,21 Bridge St,Southbank,Inner,2,Townhouse,1,1,1.0,146,113.0,1964.0,2023-02-09,SP,686000.0
139,2 Elm Gr,Doncaster,Eastern,15,House,4,3,0.0,819,188.0,1978.0,2023-02-09,VB,1257000.0
140,195 Bridge St,Essendon,North West,9,House,4,3,0.0,713,183.0,1937.0,2023-02-10,VB,1419000.0
141,33 Union St,Pakenham,Outer South East,55,House,4,3,0.0,482,178.0,1920.0,2023-02-10,S,475000.0
142,32 Station Rd,South Yarra,Inner,4,Townhouse,3,2,1.0,188,160.0,,2023-02-10,S,833000.0
143,112 Wellington Pde,Berwick,Outer South East,42,Unit/Apartment,2,2,0.0,0,129.0,2012.0,2023-02-10,S,310000.0
144,14 Empire Ave,Melbourne CBD,Inner,1,House,4,3,1.0,413,172.0,1935.0,2023-02-10,S,1500000.0
145,74 Nicholson St,Footscray,Inner West,6,Unit/Apartment,1,1,2.0,0,,1960.0,2023-02-10,SP,426000.0
146,37 Wellington Pde,Essendon,North West,9,Unit/Apartment,2,2,,0,123.0,1917.0,2023-02-10,S,677000.0
147,28 Albert Rd,Williamstown,Inner West,10,House,3,3,0.0,436,139.0,1928.0,2023-02-11,PI,1065000.0
148,16 Maple Ct,Coburg,Northern,8,House,3,3,0.0,514,159.0,1943.0,2023-02-11,SP,881000.0
149,78 Empire Ave,Malvern,Inner East,8,House,3,2,1.0,866,173.0,1987.0,2023-02-11,VB,2056000.0
150,190 Church St,Doncaster,Eastern,15,Townhouse,2,1,0.0,261,144.0,1971.0,2023-02-12,S,836000.0
151,176 Cook St,Dandenong,South East,30,House,2,1,0.0,713,,2002.0,2023-02-12,S,586000.0
152,145 Union St,Toorak,Inner East,5,House,2,1,3.0,444,114.0,1907.0,2023-02-13,S,1479000.0
153,138 Park Cres,Malvern,Inner East,8,Townhouse,2,2,1.0,296,147.0,1993.0,2023-02-13,S,907000.0
154,195 Wellington Pde,Epping,Outer North,20,House,3,2,3.0,656,136.0,2005.0,2023-02-13,S,655000.0
155,85 Nicholson St,Essendon,North West,9,House,2,1,1.0,366,120.0,1988.0,2023-02-13,S,1090000.0
156,161 Bridge St,Camberwell,Inner East,9,Unit/Apartment,3,2,1.0,0,147.0,,2023-02-14,SP,814000.0
157,20 Riverside Dr,Doncaster,Eastern,15,House,1,1,3.0,425,90.0,2013.0,2023-02-14,SP,963000.0
158,89 Union St,Fitzroy,Inner,3,House,2,1,1.0,569,121.0,1982.0,2023-02-14,S,1259000.0
159,23 Park Cres,Yarraville,Inner West,8,House,2,2,2.0,890,155.0,1973.0,2023-02-14,PI,1413000.0
160,187 Victoria Ave,Richmond,Inner,3,Unit/Apartment,1,1,2.0,0,99.0,1932.0,2023-02-14,SP,668000.0
161,102 Clarke St,Glen Waverley,Eastern,18,Unit/Apartment,1,1,0.0,0,106.0,1938.0,2023-02-14,S,454000.0
162,7 Grove St,Glen Waverley,Eastern,18,House,2,1,1.0,332,113.0,1955.0,2023-02-14,S,1027000.0
163,164 Elm Gr,Moonee Ponds,North West,7,House,2,2,1.0,364,150.0,1992.0,2023-02-15,SA,921000.0
164,36 Bridge St,Southbank,Inner,2,Unit/Apartment,1,1,0.0,0,107.0,1995.0,2023-02-15,PI,592000.0
165,156 Beach Rd,Werribee,Outer West,32,House,1,1,3.0,383,99.0,1912.0,2023-02-16,S,359000.0
166,181 High St,Melbourne CBD,Inner,1,House,2,1,1.0,529,137.0,1934.0,2023-02-16,SP,1646000.0
167,161 Riverside Dr,Box Hill,Eastern,14,Townhouse,5,4,0.0,270,205.0,1946.0,2023-02-16,SP,804000.0
168,8 Park Cres,Williamstown,Inner West,10,House,1,1,3.0,676,95.0,1900.0,2023-02-17,S,1042000.0
169,25 Wellington Pde,Melbourne CBD,Inner,1,House,1,1,0.0,483,112.0,2012.0,2023-02-17,PI,1489000.0
170,71 Elm Gr,Coburg,Northern,8,House,2,1,2.0,857,,1911.0,2023-02-17,S,1175000.0
171,99 Grove St,Doncaster,Eastern,15,Townhouse,3,2,0.0,248,151.0,2013.0,2023-02-17,SP,851000.0
172,136 Park Cres,Essendon,North West,9,House,4,3,1.0,706,204.0,1948.0,2023-02-17,SA,1330000.0
173,143 Elm Gr,Richmond,Inner,3,Townhouse,3,2,0.0,203,151.0,2011.0,2023-02-18,SP,917000.0
174,11 Maple Ct,Footscray,Inner West,6,Townhouse,4,3,0.0,240,172.0,1909.0,2023-02-18,S,858000.0
175,24 Empire Ave,Doncaster,Eastern,15,Unit/Apartment,2,1,1.0,0,133.0,1916.0,2023-02-18,S,582000.0
176,62 Elm Gr,Fitzroy,Inner,3,House,4,4,3.0,400,208.0,1949.0,2023-02-18,SP,1589000.0
177,84 Union St,South Yarra,Inner,4,House,3,3,2.0,469,,1967.0,2023-02-18,S,1310000.0
178,158 Church St,Richmond,Inner,3,House,2,1,1.0,317,147.0,1969.0,2023-02-19,S,1230000.0
179,26 Beach Rd,Richmond,Inner,3,Townhouse,2,2,0.0,199,113.0,1975.0,2023-02-19,S,699000.0
180,180 Wellington Pde,Southbank,Inner,2,House,3,3,1.0,326,140.0,1934.0,2023-02-19,S,1390000.0
181,133 Union St,Craigieburn,Outer North,26,House,3,2,1.0,496,144.0,1936.0,2023-02-20,VB,500000.0
182,119 Riverside Dr,Coburg,Northern,8,Unit/Apartment,2,2,0.0,0,141.0,1929.0,2023-02-21,S,582000.0
183,197 Clarke St,Fitzroy,Inner,3,Unit/Apartment,1,1,2.0,0,107.0,1979.0,2023-02-21,S,739000.0
184,121 Elm Gr,Footscray,Inner West,6,House,2,1,0.0,833,111.0,1904.0,2023-02-21,S,855000.0
185,11 Clarke St,Camberwell,Inner East,9,House,5,4,1.0,742,232.0,1994.0,2023-02-21,SP,1738000.0
186,120 Beach Rd,Southbank,Inner,2,House,2,2,1.0,826,118.0,1904.0,2023-02-21,SP,1507000.0
187,66 Station Rd,Brighton,Bayside,11,Townhouse,4,3,3.0,210,179.0,2023.0,2023-02-21,SP,1157000.0
188,70 Church St,Point Cook,Outer West,24,House,1,1,0.0,537,92.0,2018.0,2023-02-21,PI,662000.0
189,22 High St,Craigieburn,Outer North,26,Unit/Apartment,1,1,0.0,0,107.0,1953.0,2023-02-21,SP,276000.0
190,95 Beach Rd,Moonee Ponds,North West,7,House,3,2,1.0,861,163.0,1921.0,2023-02-21,PI,1306000.0
191,192 Elm Gr,Yarraville,Inner West,8,Unit/Apartment,1,1,0.0,0,115.0,1966.0,2023-02-22,VB,543000.0
192,123 Riverside Dr,Sandringham,Bayside,15,House,3,3,1.0,761,158.0,1925.0,2023-02-22,S,1548000.0
193,174 Clarke St,Moonee Ponds,North West,7,Unit/Apartment,1,1,0.0,0,109.0,1995.0,2023-02-22,SP,621000.0
194,190 Clarke St,Werribee,Outer West,32,Unit/Apartment,1,1,1.0,0,113.0,1954.0,2023-02-23,S,269000.0
195,190 Victoria Ave,Brighton,Bayside,11,House,2,2,2.0,405,108.0,2012.0,2023-02-23,S,1448000.0
196,64 Church St,Richmond,Inner,3,Townhouse,2,2,0.0,286,156.0,2017.0,2023-02-24,SP,1023000.0
197,107 Church St,Camberwell,Inner East,9,Unit/Apartment,1,1,1.0,0,87.0,1963.0,2023-02-24,S,883000.0
198,88 Station Rd,Footscray,Inner West,6,House,3,2,2.0,477,161.0,1920.0,2023-02-24,S,889000.0
199,147 Wellington Pde,Point Cook,Outer West,24,Unit/Apartment,1,1,0.0,0,91.0,1990.0,2023-02-24,SA,346000.0
200,168 Bridge St,St Kilda,Bayside,6,House,4,4,1.0,569,204.0,1906.0,2023-02-24,S,1427000.0
201,126 High St,Toorak,Inner East,5,House,2,2,1.0,361,150.0,1994.0,2023-02-25,S,1889000.0
202,63 High St,Melbourne CBD,Inner,1,Unit/Apartment,1,1,1.0,0,116.0,1910.0,2023-02-25,S,686000.0
203,76 Park Cres,Southbank,Inner,2,House,2,2,0.0,774,128.0,2008.0,2023-02-25,S,892000.0
204,112 Beach Rd,Southbank,Inner,2,Townhouse,3,2,2.0,228,163.0,1972.0,2023-02-25,VB,725000.0
205,31 Nicholson St,Reservoir,Northern,12,Unit/Apartment,1,1,1.0,0,107.0,1968.0,2023-02-25,S,341000.0
206,117 Empire Ave,Brunswick,Northern,5,Unit/Apartment,1,1,4.0,0,107.0,1970.0,2023-02-25,PI,526000.0
207,183 Station Rd,Point Cook,Outer West,24,House,3,3,0.0,465,131.0,1922.0,2023-02-25,SP,653000.0
208,86 Church St,Fitzroy,Inner,3,House,3,2,2.0,537,175.0,1929.0,2023-02-26,SP,1408000.0
209,51 Cook St,Yarraville,Inner West,8,Townhouse,2,1,1.0,222,132.0,1955.0,2023-02-26,SA,618000.0
210,49 Elm Gr,Footscray,Inner West,6,Unit/Apartment,2,1,2.0,0,153.0,1919.0,2023-02-27,S,574000.0
211,4 Elm Gr,Pakenham,Outer South East,55,Townhouse,2,1,3.0,171,113.0,1919.0,2023-02-27,S,243000.0
212,152 Riverside Dr,Richmond,Inner,3,House,3,2,0.0,772,150.0,2007.0,2023-02-27,VB,1339000.0
213,50 Bridge St,Toorak,Inner East,5,Unit/Apartment,3,2,1.0,0,167.0,1901.0,2023-02-28,S,1039000.0
214,160 Albert Rd,Richmond,Inner,3,Unit/Apartment,1,1,0.0,0,104.0,1993.0,2023-02-28,VB,745000.0
215,141 Empire Ave,Werribee,Outer West,32,Unit/Apartment,2,1,2.0,0,128.0,1995.0,2023-02-28,S,264000.0
216,132 Cook St,St Kilda,Bayside,6,House,1,1,0.0,393,96.0,1996.0,2023-03-01,S,1184000.0
217,145 Wellington Pde,Williamstown,Inner West,10,Unit/Apartment,2,1,1.0,0,119.0,1938.0,2023-03-01,S,710000.0
218,12 Riverside Dr,Toorak,Inner East,5,House,2,1,2.0,482,155.0,1998.0,2023-03-01,S,1915000.0
219,86 Bridge St,Sunshine,Western,13,Townhouse,2,2,1.0,270,134.0,1946.0,2023-03-01,SP,533000.0
220,145 Albert Rd,Epping,Outer North,20,House,4,2,0.0,523,145.0,1936.0,2023-03-01,SP,524000.0
221,95 Union St,Dandenong,South East,30,Townhouse,2,2,0.0,210,122.0,1998.0,2023-03-02,SP,404000.0
222,144 Church St,Footscray,Inner West,6,Townhouse,1,1,0.0,253,85.0,1965.0,2023-03-02,S,507000.0
223,179 Wellington Pde,Sandringham,Bayside,15,House,3,2,0.0,589,149.0,1907.0,2023-03-02,SP,1349000.0
224,21 Empire Ave,Frankston,South East,41,House,2,2,1.0,871,133.0,1925.0,2023-03-03,PI,620000.0
225,152 Grove St,Brunswick,Northern,5,House,5,4,1.0,450,219.0,1979.0,2023-03-03,S,1245000.0
226,163 Beach Rd,Brighton,Bayside,11,Townhouse,4,2,0.0,222,202.0,1928.0,2023-03-03,S,1298000.0
227,133 Park Cres,Epping,Outer North,20,House,2,2,4.0,856,137.0,2017.0,2023-03-03,S,738000.0
